type_code,census_blockgroup,lang_match
499,60750260041,spanish
500,60750260042,cantonese
501,60750260042,no_match
502,60750260042,spanish
503,60750261001,cantonese
504,60750261001,no_match
505,60750261002,cantonese
506,60750261002,no_match
507,60750261002,spanish
508,60750261003,cantonese
509,60750261003,no_match
510,60750261003,spanish
511,60750261004,cantonese
512,60750261004,no_match
513,60750261004,spanish
514,60750262001,cantonese
515,60750262001,no_match
516,60750262001,spanish
517,60750262002,cantonese
518,60750262002,no_match
519,60750262002,spanish
520,60750262003,no_match
521,60750262004,no_match
522,60750262004,spanish
523,60750262005,cantonese
524,60750262005,no_match
525,60750262005,spanish
526,60750263011,cantonese
527,60750263011,no_match
528,60750263011,spanish
529,60750263012,cantonese
530,60750263012,no_match
531,60750263012,spanish
532,60750263013,cantonese
533,60750263013,no_match
534,60750263021,cantonese
535,60750263021,no_match
536,60750263021,spanish
537,60750263022,cantonese
538,60750263022,no_match
539,60750263023,cantonese
540,60750263023,no_match
541,60750263023,spanish
542,60750263031,cantonese
543,60750263031,no_match
544,60750263031,spanish
545,60750263032,cantonese
546,60750263032,no_match
547,60750263032,spanish
548,60750264011,cantonese
549,60750264011,no_match
550,60750264011,spanish
551,60750264012,cantonese
552,60750264012,no_match
553,60750264012,spanish
554,60750264021,cantonese
555,60750264021,no_match
556,60750264021,spanish
557,60750264022,cantonese
558,60750264022,no_match
559,60750264022,spanish
560,60750264023,no_match
561,60750264023,spanish
562,60750264031,cantonese
563,60750264031,no_match
564,60750264031,spanish
565,60750264032,cantonese
566,60750264032,no_match
567,60750264032,spanish
568,60750264041,cantonese
569,60750264041,no_match
570,60750264041,spanish
571,60750264042,cantonese
572,60750264042,no_match
573,60750301011,no_match
574,60750301012,no_match
575,60750301013,no_match
576,60750301014,no_match
577,60750301021,no_match
578,60750301022,no_match
579,60750301022,spanish
580,60750301023,no_match
581,60750302011,no_match
582,60750302012,no_match
583,60750302013,cantonese
584,60750302013,no_match
585,60750302021,no_match
586,60750302022,cantonese
587,60750302022,no_match
588,60750302023,cantonese
589,60750302023,no_match
590,60750303011,no_match
591,60750303012,no_match
592,60750303013,no_match
593,60750303014,cantonese
594,60750303014,no_match
595,60750303021,no_match
596,60750303022,no_match
597,60750303023,no_match
598,60750303023,spanish
599,60750304001,no_match
600,60750304002,no_match
601,60750304003,cantonese
602,60750304003,no_match
603,60750304004,cantonese
604,60750304004,no_match
605,60750304005,cantonese
606,60750304005,no_match
607,60750305001,no_match
608,60750305002,no_match
609,60750305003,no_match
610,60750306001,cantonese
611,60750306001,no_match
612,60750306002,no_match
613,60750306003,no_match
614,60750307001,no_match
615,60750307002,no_match
616,60750307003,no_match
617,60750308001,no_match
618,60750308002,no_match
619,60750308003,no_match
620,60750308004,no_match
621,60750308005,cantonese
622,60750308005,no_match
623,60750309001,no_match
624,60750309002,no_match
625,60750309003,cantonese
626,60750309003,no_match
627,60750309006,no_match
628,60750309007,cantonese
629,60750310001,no_match
630,60750310001,spanish
631,60750310002,no_match
632,60750310003,no_match
633,60750311001,no_match
634,60750311001,spanish
635,60750311002,cantonese
636,60750311002,no_match
637,60750311003,no_match
638,60750311004,no_match
639,60750311004,spanish
640,60750311005,no_match
641,60750312011,cantonese
642,60750312011,no_match
643,60750312011,spanish
644,60750312012,cantonese
645,60750312012,no_match
646,60750312012,spanish
647,60750312013,no_match
648,60750312014,cantonese
649,60750312014,no_match
650,60750312014,spanish
651,60750312021,cantonese
652,60750312021,no_match
653,60750312021,spanish
654,60750312022,cantonese
655,60750312022,no_match
656,60750312022,spanish
657,60750313011,cantonese
658,60750313011,no_match
659,60750313012,no_match
660,60750313013,cantonese
661,60750313013,no_match
662,60750313021,cantonese
663,60750313021,no_match
664,60750313022,cantonese
665,60750313022,no_match
