type_code,census_blockgroup,lang_match,student_count
483,60750260012,no_match,15
484,60750260012,spanish,10
485,60750260021,cantonese,1
486,60750260021,no_match,2
487,60750260021,spanish,5
488,60750260022,cantonese,1
489,60750260022,no_match,6
490,60750260022,spanish,4
491,60750260031,cantonese,4
492,60750260031,no_match,5
493,60750260031,spanish,11
494,60750260032,cantonese,1
495,60750260032,no_match,11
496,60750260032,spanish,10
497,60750260041,cantonese,5
498,60750260041,no_match,8
499,60750260041,spanish,5
500,60750260042,cantonese,7
501,60750260042,no_match,3
502,60750260042,spanish,3
503,60750261001,cantonese,2
504,60750261001,no_match,3
505,60750261002,cantonese,3
506,60750261002,no_match,7
507,60750261002,spanish,8
508,60750261003,cantonese,4
509,60750261003,no_match,5
510,60750261003,spanish,3
511,60750261004,cantonese,1
512,60750261004,no_match,1
513,60750261004,spanish,2
514,60750262001,cantonese,1
515,60750262001,no_match,6
516,60750262001,spanish,3
517,60750262002,cantonese,3
518,60750262002,no_match,6
519,60750262002,spanish,3
520,60750262003,no_match,3
521,60750262004,no_match,1
522,60750262004,spanish,4
523,60750262005,cantonese,2
524,60750262005,no_match,2
525,60750262005,spanish,2
526,60750263011,cantonese,3
527,60750263011,no_match,6
528,60750263011,spanish,2
529,60750263012,cantonese,2
530,60750263012,no_match,9
531,60750263012,spanish,6
532,60750263013,cantonese,2
533,60750263013,no_match,3
534,60750263021,cantonese,4
535,60750263021,no_match,3
536,60750263021,spanish,2
537,60750263022,cantonese,3
538,60750263022,no_match,5
539,60750263023,cantonese,2
540,60750263023,no_match,9
541,60750263023,spanish,3
542,60750263031,cantonese,3
543,60750263031,no_match,9
544,60750263031,spanish,3
545,60750263032,cantonese,2
546,60750263032,no_match,5
547,60750263032,spanish,4
548,60750264011,cantonese,5
549,60750264011,no_match,9
550,60750264011,spanish,4
551,60750264012,cantonese,4
552,60750264012,no_match,3
553,60750264012,spanish,1
554,60750264021,cantonese,1
555,60750264021,no_match,4
556,60750264021,spanish,4
557,60750264022,cantonese,3
558,60750264022,no_match,4
559,60750264022,spanish,3
560,60750264023,no_match,8
561,60750264023,spanish,1
562,60750264031,cantonese,3
563,60750264031,no_match,4
564,60750264031,spanish,3
565,60750264032,cantonese,6
566,60750264032,no_match,10
567,60750264032,spanish,2
568,60750264041,cantonese,1
569,60750264041,no_match,7
570,60750264041,spanish,2
571,60750264042,cantonese,3
572,60750264042,no_match,1
573,60750301011,no_match,4
574,60750301012,no_match,2
575,60750301013,no_match,2
576,60750301014,no_match,1
577,60750301021,no_match,17
578,60750301022,no_match,5
579,60750301022,spanish,1
580,60750301023,no_match,4
581,60750302011,no_match,8
582,60750302012,no_match,4
583,60750302013,cantonese,1
584,60750302013,no_match,2
585,60750302021,no_match,2
586,60750302022,cantonese,1
587,60750302022,no_match,8
588,60750302023,cantonese,1
589,60750302023,no_match,3
590,60750303011,no_match,3
591,60750303012,no_match,7
592,60750303013,no_match,4
593,60750303014,cantonese,1
594,60750303014,no_match,3
595,60750303021,no_match,7
596,60750303022,no_match,6
597,60750303023,no_match,8
598,60750303023,spanish,1
599,60750304001,no_match,4
600,60750304002,no_match,4
601,60750304003,cantonese,2
602,60750304003,no_match,8
603,60750304004,cantonese,1
604,60750304004,no_match,6
605,60750304005,cantonese,3
606,60750304005,no_match,2
607,60750305001,no_match,3
608,60750305002,no_match,5
609,60750305003,no_match,1
610,60750306001,cantonese,1
611,60750306001,no_match,2
612,60750306002,no_match,4
613,60750306003,no_match,6
614,60750307001,no_match,14
615,60750307002,no_match,8
616,60750307003,no_match,9
617,60750308001,no_match,4
618,60750308002,no_match,4
619,60750308003,no_match,2
620,60750308004,no_match,9
621,60750308005,cantonese,1
622,60750308005,no_match,5
623,60750309001,no_match,3
624,60750309002,no_match,6
625,60750309003,cantonese,2
626,60750309003,no_match,2
627,60750309006,no_match,1
628,60750309007,cantonese,1
629,60750310001,no_match,5
630,60750310001,spanish,1
631,60750310002,no_match,4
632,60750310003,no_match,4
633,60750311001,no_match,3
634,60750311001,spanish,1
635,60750311002,cantonese,1
636,60750311002,no_match,9
637,60750311003,no_match,3
638,60750311004,no_match,4
639,60750311004,spanish,1
640,60750311005,no_match,7
641,60750312011,cantonese,2
642,60750312011,no_match,2
643,60750312011,spanish,2
644,60750312012,cantonese,3
645,60750312012,no_match,7
646,60750312012,spanish,1
647,60750312013,no_match,2
648,60750312014,cantonese,2
649,60750312014,no_match,4
650,60750312014,spanish,1
651,60750312021,cantonese,2
652,60750312021,no_match,6
653,60750312021,spanish,2
654,60750312022,cantonese,1
655,60750312022,no_match,5
656,60750312022,spanish,3
657,60750313011,cantonese,1
658,60750313011,no_match,3
659,60750313012,no_match,5
660,60750313013,cantonese,1
661,60750313013,no_match,4
662,60750313021,cantonese,3
663,60750313021,no_match,1
664,60750313022,cantonese,3
665,60750313022,no_match,4
666,60750313023,cantonese,2
667,60750313023,no_match,10
668,60750313023,spanish,1
669,60750314001,cantonese,1
670,60750314001,no_match,2
671,60750314002,cantonese,1
672,60750314002,no_match,4
673,60750314002,spanish,4
674,60750314003,cantonese,4
675,60750314003,no_match,9
676,60750314004,cantonese,4
677,60750314004,no_match,3
678,60750314004,spanish,4
679,60750314005,cantonese,2
680,60750314005,no_match,4
681,60750326011,cantonese,1
682,60750326011,no_match,5
683,60750326012,cantonese,1
684,60750326012,no_match,2
685,60750326013,cantonese,1
686,60750326013,no_match,1
687,60750326021,cantonese,1
688,60750326021,no_match,13
689,60750326021,spanish,1
690,60750326022,cantonese,1
691,60750326022,no_match,5
692,60750326023,no_match,6
693,60750327001,cantonese,1
694,60750327001,no_match,9
695,60750327002,no_match,6
696,60750327003,cantonese,3
697,60750327003,no_match,6
698,60750327004,no_match,5
699,60750327005,cantonese,1
700,60750327005,no_match,5
701,60750327006,no_match,7
702,60750327007,cantonese,1
703,60750327007,no_match,3
704,60750328011,cantonese,1
705,60750328011,no_match,3
706,60750328012,cantonese,1
707,60750328012,no_match,6
708,60750328013,no_match,7
709,60750328021,cantonese,1
710,60750328021,no_match,6
711,60750328021,spanish,1
712,60750328022,cantonese,4
713,60750328022,no_match,6
714,60750328023,cantonese,4
715,60750328023,no_match,10
716,60750329011,cantonese,1
717,60750329011,no_match,7
718,60750329012,no_match,7
719,60750329013,cantonese,1
720,60750329013,no_match,4
721,60750329014,cantonese,1
722,60750329014,no_match,8
723,60750329021,cantonese,1
724,60750329021,no_match,8
725,60750329022,no_match,4
726,60750329023,cantonese,1
727,60750329023,no_match,6
728,60750330001,no_match,5
729,60750330001,spanish,1
730,60750330002,cantonese,1
731,60750330002,no_match,5
732,60750330003,cantonese,2
733,60750330003,no_match,5
734,60750330004,cantonese,1
735,60750330004,no_match,5
736,60750330005,cantonese,3
737,60750330005,no_match,3
738,60750330006,cantonese,2
739,60750330006,no_match,9
740,60750331001,cantonese,2
741,60750331003,cantonese,1
742,60750331003,no_match,2
743,60750331004,cantonese,1
744,60750331004,no_match,4
745,60750332011,no_match,4
746,60750332011,spanish,1
747,60750332031,cantonese,1
748,60750332031,no_match,6
749,60750332032,no_match,4
750,60750332041,no_match,1
751,60750332042,no_match,4
752,60750332042,spanish,1
753,60750332043,no_match,4
754,60750351001,no_match,5
755,60750351002,cantonese,1
756,60750351002,no_match,7
757,60750351003,cantonese,1
758,60750351003,no_match,4
759,60750351004,cantonese,1
760,60750351004,no_match,3
761,60750351005,no_match,1
762,60750351005,spanish,1
763,60750351006,no_match,5
764,60750351007,no_match,6
765,60750352011,no_match,3
766,60750352012,no_match,3
767,60750352013,no_match,3
768,60750352014,cantonese,2
769,60750352014,no_match,8
770,60750352015,no_match,7
771,60750352021,cantonese,1
772,60750352021,no_match,8
773,60750352022,cantonese,1
774,60750352022,no_match,5
775,60750352023,no_match,8
776,60750353001,cantonese,3
777,60750353001,no_match,5
778,60750353002,cantonese,2
779,60750353002,no_match,12
780,60750353003,cantonese,2
781,60750353003,no_match,4
782,60750353004,cantonese,1
783,60750353004,no_match,1
784,60750353005,no_match,7
785,60750353006,cantonese,2
786,60750353006,no_match,2
787,60750354001,cantonese,2
788,60750354001,no_match,4
789,60750354002,cantonese,1
790,60750354002,no_match,5
791,60750354003,no_match,5
792,60750354004,cantonese,4
793,60750354004,no_match,6
794,60750354005,cantonese,1
795,60750354005,no_match,8
796,60750354005,spanish,1
797,60750401001,cantonese,1
798,60750401001,no_match,1
799,60750401002,no_match,6
800,60750401003,cantonese,1
801,60750401003,no_match,6
802,60750401004,no_match,5
803,60750402001,no_match,8
804,60750402001,spanish,1
805,60750402002,cantonese,2
806,60750402002,no_match,2
807,60750402003,cantonese,2
808,60750402003,no_match,6
809,60750402004,no_match,5
810,60750426011,cantonese,2
811,60750426011,no_match,7
812,60750426011,spanish,1
813,60750426012,no_match,10
814,60750426021,no_match,4
815,60750426022,no_match,6
816,60750426023,cantonese,1
817,60750426023,no_match,8
818,60750427001,no_match,8
819,60750427002,no_match,5
820,60750427003,cantonese,3
821,60750427003,no_match,7
822,60750428001,no_match,5
823,60750428002,no_match,1
824,60750428003,no_match,5
825,60750451001,no_match,8
826,60750451002,no_match,7
827,60750451002,spanish,1
828,60750451003,no_match,7
829,60750452001,cantonese,1
830,60750452001,no_match,4
831,60750452002,no_match,3
832,60750452002,spanish,1
833,60750452003,no_match,8
834,60750452004,no_match,8
835,60750452005,no_match,8
836,60750476001,no_match,5
837,60750476002,no_match,6
838,60750476003,cantonese,2
839,60750476003,no_match,3
840,60750476004,no_match,6
841,60750477011,no_match,2
842,60750477012,cantonese,1
843,60750477012,no_match,8
844,60750477013,no_match,2
845,60750477021,no_match,4
846,60750477022,no_match,3
847,60750477023,no_match,7
848,60750478011,no_match,1
849,60750478012,cantonese,1
850,60750478012,no_match,4
851,60750478013,no_match,6
852,60750478021,cantonese,1
853,60750478021,no_match,6
854,60750478022,no_match,3
855,60750478022,spanish,1
856,60750478023,cantonese,2
857,60750478023,no_match,8
858,60750479011,no_match,4
859,60750479012,no_match,10
860,60750479013,cantonese,2
861,60750479013,no_match,7
862,60750479013,spanish,1
863,60750479014,cantonese,2
864,60750479014,no_match,1
865,60750479014,spanish,1
866,60750479015,no_match,4
867,60750479021,no_match,3
868,60750479022,no_match,5
869,60750479023,cantonese,1
870,60750479023,no_match,5
871,60750601001,no_match,13
872,60750604001,cantonese,2
873,60750604001,no_match,6
874,60750605021,no_match,4
875,60750605022,cantonese,1
876,60750605022,no_match,6
877,60750605022,spanish,4
878,60750605023,cantonese,1
879,60750605023,no_match,6
880,60750605023,spanish,1
881,60750607001,cantonese,6
882,60750607001,no_match,48
883,60750607001,spanish,4
884,60750607002,no_match,1
885,60750607003,no_match,1
886,60750610001,cantonese,3
887,60750610001,no_match,17
888,60750610001,spanish,4
889,60750610002,cantonese,3
890,60750610002,no_match,6
891,60750610002,spanish,1
892,60750611001,cantonese,4
893,60750611001,no_match,1
894,60750611002,cantonese,11
895,60750611002,no_match,5
896,60750611002,spanish,1
897,60750611003,cantonese,2
898,60750611003,no_match,3
899,60750612001,no_match,6
900,60750612001,spanish,8
901,60750612002,cantonese,2
902,60750612002,no_match,12
903,60750612002,spanish,7
904,60750614001,no_match,15
905,60750614001,spanish,2
906,60750614002,no_match,7
907,60750614003,no_match,5
908,60750614003,spanish,1
909,60750615001,no_match,3
910,60750615002,cantonese,1
911,60750615002,no_match,4
912,60750615003,no_match,7
913,60750615004,no_match,6
914,60750615005,spanish,1
915,60750615006,no_match,9
916,60759802001,no_match,1
917,60759805011,cantonese,1
918,60759805011,no_match,3
919,60759806001,no_match,4
920,60759806001,spanish,1
921,60759809001,no_match,3
