Geocode,Weight,Area
80,1.4184126936,0.0188102165
81,1.9857777711,0.0274110301
83,3.6878730035,0.0252547732
84,2.5531428486,0.0271081809
85,1.4184126936,0.0187119767
86,1.7020952324,0.0251194012
87,2.5531428486,0.0229543321
88,1.4184126936,0.0209895983
89,4.5389206197,0.034249703
90,0.8510476162,0.0509078297
91,1.4184126936,0.0579606747
96,3.120507926,0.0510135082
97,0.2836825387,0.0225686365
98,0.2836825387,0.0244082986
101,0.2836825387,0.0307076069
106,0.2836825387,0.0323301096
111,1.7020952324,0.049139055
112,1.4184126936,0.0336649163
113,0.2836825387,0.0459231267
115,1.1347301549,0.0368819816
116,11.0636190105,0.0449364178
117,2.8368253873,0.0356595658
118,0.5673650775,0.0333362303
121,0.8510476162,0.0252276814
123,17.5883174012,0.0417783518
124,3.9715555422,0.0666699539
125,0.2836825387,0.0238096724
126,1.9857777711,0.0122216723
127,6.241015852,0.0435509578
128,0.8510476162,0.0500321516
129,0.2836825387,0.0620540675
135,0.8510476162,0.0995722334
137,0.2836825387,0.0572455885
139,1.1347301549,0.0577429741
140,0.8510476162,0.0293560254
141,0.2836825387,0.0340007336
143,0.2836825387,0.1085053001
145,3.6878730035,0.057098402
146,1.9857777711,0.0706719553
147,3.705317939,0.0290829093
149,5.41546468,0.0786752631
150,4.5603913095,0.057084677
151,3.4202934821,0.0760439897
152,0.5700489137,0.0315191543
153,1.7101467411,0.0462319405
154,4.2753668527,0.0265824231
155,3.4202934821,0.038756698
156,5.1304402232,0.0427842686
157,6.5555625074,0.0546793175
158,13.1111250148,0.0269443166
159,3.705317939,0.0346159496
160,2.8502445684,0.0411336296
161,6.5555625074,0.0619687092
162,7.4106358779,0.1208773695
163,1.7101467411,0.0299997273
164,6.2705380506,0.0316011052
165,3.9903423958,0.0808242842
166,5.7004891369,0.0326072803
167,5.7004891369,0.0882932012
168,1.9951711979,0.0583079867
170,7.1256114211,0.0497503629
171,0.2850244568,0.036890033
173,0.8510476162,0.2535420014
174,0.2856661667,0.5445847593
178,0.8529972627,0.0872481605
180,2.2746593672,0.0798312139
181,8.2456402061,0.1239732817
182,9.9516347316,0.1145332999
183,9.0986374689,0.0490407556
184,3.4284640832,0.0613129421
185,1.9999373819,0.0995957893
186,2.2856427222,0.2871579506
187,4.8569907846,0.0638019824
188,3.4284640832,0.0605460221
189,0.8571160208,0.0635936044
190,22.5676271697,0.1264279749
191,0.8569985001,0.0691124734
192,12.569311335,0.0436682578
193,0.8569985001,0.0400041576
194,1.4283308335,0.025493061
196,9.1413173346,0.0585625495
197,14.2833083353,0.0343655183
198,5.7133233341,0.0247393284
199,0.2856661667,0.0373328694
200,0.5713323334,0.0546136067
201,0.8569985001,0.036319186
202,0.5713323334,0.0634561249
204,0.2856661667,0.1583578568
206,0.5713323334,0.3167450669
207,0.2856661667,0.715166774
211,0.5713323334,0.0438752061
212,3.7136601672,0.0420859474
213,1.1426646668,0.0422621838
214,4.5706586673,0.1139154577
215,0.8569985001,0.0451084326
216,3.7136601672,0.0863715323
217,7.4273203343,0.030946884
218,10.8553143348,0.0345364891
219,10.8553143348,0.0788797607
220,3.7136601672,0.0899291399
221,1.7139970002,0.0644108836
222,1.9996631669,0.1119083052
223,2.5709955003,0.0706517915
224,2.8566616671,0.1086021874
225,1.1426646668,0.0466176484
226,1.7139970002,0.07679155
227,1.9996631669,0.0461501629
228,1.7139970002,0.0771322708
229,4.5706586673,0.0481488684
230,1.1426646668,0.0723597322
231,2.8566616671,0.1045180522
232,1.9996631669,0.1058956313
233,1.7139970002,0.0762562706
234,3.1423278338,0.1472323566
235,4.285580104,0.0720025399
236,7.1426335067,0.0641844501
237,10.5710975899,0.0436796953
238,3.7141694235,0.0334467114
239,4.5712854443,0.0232137275
240,5.7141068054,0.0448658243
241,3.142758743,0.0290765909
242,4.5712854443,0.0203852697
243,2.2856427222,0.0311826264
244,7.1426335067,0.0504738384
245,9.4282762289,0.090529098
246,7.1426335067,0.0369367042
247,9.4282762289,0.0472070615
248,5.1426961248,0.0293775098
249,5.4284014651,0.0751424054
250,2.8570534027,0.1259672234
251,1.4285267013,0.0538712517
252,1.4285267013,0.212148647
253,2.8553744634,0.1723689864
254,6.2855174859,0.1879137422
255,5.9998121456,0.0496679035
256,8.8568655483,0.0385317606
257,7.7140441873,0.1106634604
258,8.8568655483,0.0887012314
259,7.6769753643,0.043615763
260,9.0986374689,0.078229678
261,7.6769753643,0.0502819706
262,7.1083105225,0.0470370764
