Geocode,School Code,Priority
428,4250,0.9999999999999998
428,4055,0.8005750699588987
428,4070,0.9999999999999998
428,4291,0.9999999999999998
428,4345,0.9999999999999998
428,4580,0.9999999999999998
428,4690,0.9999999999999998
428,4130,0.1994249300411011
428,4053,0.1994249300411011
428,4560,0.9999999999999998
428,4600,0.9999999999999998
428,4190,0.9999999999999998
428,4210,0.1994249300411011
428,4201,0.1994249300411011
428,4440,0.1994249300411011
407,4100,0.8245720536130541
407,4230,1.0
407,4630,0.8245720536130541
407,4084,1.0
407,4290,1.0
407,4390,1.0
407,4151,1.0
407,4052,0.17542794638694592
407,4250,1.0
407,4055,0.17542794638694592
407,4070,1.0
407,4291,1.0
407,4345,1.0
407,4580,1.0
407,4690,1.0
407,4350,0.8245720536130541
407,4400,0.8245720536130541
407,4130,0.8245720536130541
407,4053,0.8245720536130541
407,4370,0.8245720536130541
407,4560,1.0
407,4460,0.8245720536130541
407,4600,0.8245720536130541
407,4190,1.0
407,4210,0.8245720536130541
407,4201,1.0
407,4200,0.8245720536130541
407,4440,0.8245720536130541
465,4230,0.888098376420688
465,4084,1.0
465,4290,1.0
465,4151,1.0
465,4052,1.0
465,4250,1.0
465,4055,1.0
465,4070,1.0
465,4291,0.888098376420688
465,4345,0.888098376420688
465,4580,1.0
465,4690,1.0
465,4130,0.888098376420688
465,4560,1.0
465,4600,1.0
465,4190,0.888098376420688
288,4640,1.0
288,4570,1.0
288,4230,1.0
288,4680,0.47423740932538405
288,4630,0.47423740932538405
288,4022,0.47423740932538405
288,4123,0.47423740932538405
288,4052,1.0
288,4250,1.0
288,4055,0.525762590674616
288,4580,1.0
288,4240,1.0
288,4231,1.0
288,4242,1.0
288,4270,1.0
288,4113,0.47423740932538405
288,4121,0.47423740932538405
288,4460,0.47423740932538405
568,4640,0.6824923109138087
568,4570,0.6824923109138087
568,4230,1.0
568,4084,1.0
568,4290,1.0
568,4052,1.0
568,4250,1.0
568,4055,1.0
568,4345,0.6824923109138087
568,4580,1.0
568,4240,1.0
568,4130,0.6824923109138087
568,4272,0.6824923109138087
568,4242,1.0
568,4053,0.6824923109138087
568,4370,0.6824923109138087
568,4560,0.6824923109138087
568,4270,1.0
568,4113,0.6824923109138087
568,4460,0.6824923109138087
573,4640,0.9706346728100604
573,4570,0.9706346728100604
573,4230,1.0
573,4084,1.0
573,4290,0.0293653271899396
573,4151,1.0
573,4052,1.0
573,4250,1.0
573,4055,1.0
573,4580,1.0
573,4240,1.0
573,4272,0.9706346728100604
573,4242,1.0
573,4053,0.9706346728100604
573,4370,1.0
573,4560,1.0
573,4270,1.0
684,4070,1.0
684,4690,1.0
684,4272,0.5838604437600038
684,4560,1.0
684,4285,0.5838604437600038
684,4311,0.5838604437600038
684,4190,1.0
684,4210,0.5838604437600038
684,4081,0.5838604437600038
684,4331,0.5838604437600038
684,4201,0.696273484714913
684,4561,0.5838604437600038
684,4080,0.5838604437600038
684,4082,0.5838604437600038
684,4200,0.5838604437600038
684,4030,0.5838604437600038
684,4031,0.5838604437600038
847,4640,1.0
847,4570,1.0
847,4230,1.0
847,4680,1.0
847,4630,1.0
847,4022,1.0
847,4123,1.0
847,4052,1.0
847,4250,1.0
847,4055,1.0
847,4580,1.0
847,4240,1.0
847,4242,1.0
847,4270,1.0
847,4113,1.0
847,4121,1.0
847,4460,1.0
526,4151,0.020725624207443807
526,4070,1.0
526,4690,1.0
526,4560,1.0
526,4190,0.9792743757925562
526,4201,1.0
526,4200,0.9792743757925562
526,4193,0.9792743757925562
482,4084,1.0
482,4290,1.0
482,4151,1.0
482,4250,1.0
482,4070,1.0
482,4291,0.8636993538148346
482,4345,0.8636993538148346
482,4580,0.8636993538148346
482,4690,1.0
482,4053,0.8636993538148346
482,4560,1.0
482,4600,0.8636993538148346
482,4190,1.0
482,4210,0.8636993538148346
482,4201,1.0
482,4200,0.8636993538148346
482,4440,0.8636993538148346
681,4070,1.0
681,4690,1.0
681,4272,0.5413066213805272
681,4053,0.5413066213805272
681,4560,1.0
681,4285,0.5413066213805272
681,4311,0.5413066213805272
